bodyweight,g__Anaerofustis,Fraxin,"""D-Homo-A-nor-17a-oxaandrost-3(5)-ene-2,17-dione""",Estrone 3-glucuronide,DL-beta-Hydroxybutyric acid,Piperidione,Dehydrocholic acid,Trans-Cinnamic acid,11(E)-Eicosenoic acid,progesterone,7-Oxatyphasterol,IBMX,g_Bifidobacterium,Karwinaphthol B,g_Veillonella,"N,N-Dihydroxy-L-trytophan","4,4-Difluoro-17beta-hydroxyandrost-5-en-3-one propionate",Stanozolol,sn-3-O-(geranylgeranyl)glycerol 1-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.022271791,0.013315465,0.025487646,0.008296349,-0.009518106,0,0,-0.037662647,-0.010471322,-0.006523231,-0.003485011,-0.006045321,0,-0.071269098,-0.000770287,-0.027913553,-0.005825979,-0.006359325,-0.000539826,-0.006418297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026927495,-0.033745747,0,-0.006220527,-0.006814559,0.006436892,0.002825121,-0.037775509,-0.018754054,-0.004448057,0,-0.009720506,-0.008264019,0.004333467,0,0,-0.002170154,0,-0.003552521,-0.006555544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004574967,0.011172355,0.007933916,-0.017983814,-0.01355964,0.003050406,0.00610271,0.007200514,0.0051967,0.008197968,-0.003394664,0,0.000792888,0.001435935,-0.010033756,0.001405181,-0.007269491,0.001710141,0.00674491,0.005576836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020384183,-0.028929192,0.017732605,0.005632278,-0.003354937,0,-0.014464747,0,-0.003938561,-0.007487839,0,0.014512912,-0.003272783,0,0,-0.00725346,0,0.000683444,0.002687362,0.007676373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.022980326,-0.019829861,0.023380794,0.038433735,-0.005405009,-0.013094641,-0.018351461,0,0,-0.00915194,0,0.047249474,-0.004042078,0.003506776,0,0,0,0.004807414,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01821525,0.01456931,0,0.01335549,0,0,0.018705596,0.003962066,0.008442867,0.015480795,0.040703192,0,0.000946604,0,0.002859348,0.007653109,0,0.009987073,0.004736987,0.003814095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.013782489,0.023365972,-0.037207593,0,0,0,0.006387209,0.00567826,0.006135215,0,-0.006678147,0,0.00304033,0.021589627,0,0,0.002317496,0.003642563,0.008772849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.022442894,0.015180678,-0.02923807,0.012072104,-0.002029214,-0.057328839,-0.030542655,0.002284477,0.005841733,-0.00598278,-0.001177606,-0.001082257,-0.002707364,0.00331863,0,0,-0.004088109,0.004599426,-0.016323519,-0.004483795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.014672302,-0.093541441,-0.002715771,-0.003538545,-0.003727748,0,0.011903939,0.004615198,-0.003771592,-0.003328181,0,-0.0137088,-0.007182539,0,-0.003581284,-0.0083737,0,0.013705724,-0.004438991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01450861,0.01537726,-0.015478454,-0.01106483,0.033708696,0.012679573,0.001104456,0.00973471,0.013906203,0.008827308,-0.019892702,0,0.022423613,0.008808565,0.008390761,0.006704743,-0.008917797,-0.005226672,8.76E-05,0.008546777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012455192,0.014128678,-0.002326625,-0.004632073,-0.001110978,0,0.013317551,0.008376925,0.000767486,-0.000979308,-0.007471174,-0.005099476,0,0.002921677,-0.01771796,0,-0.003819557,0,0.005179011,0.0044258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020783915,-0.026937222,-0.007605246,-0.003348653,-0.008663901,0,-0.002781343,0.005168353,-0.020770106,-0.006875112,0,0,-0.022272095,0,-0.001592636,-0.009108686,0,-0.007655109,-0.002437102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017533808,0.014878878,0,0,0,0,0,0.007049109,0.004978881,0.023135982,-0.009613654,0,0.018017046,0,0,0.004590602,-0.009923518,0.004825601,0.005061765,0.014490094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.033704378,0.011809876,-0.024838564,0.003806782,0,-0.010157894,-0.004788664,0.00684782,0.003104284,0,0,-0.002301393,0.002976469,0.002295863,-0.007281596,0.005911704,0,0,0.009491426,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04310765,0.01581811,-0.0211834,0.003509689,0.032731897,0.011164726,0.005781397,0.005535373,0.00879358,0.004328076,0.004722172,0,0,0.002393113,0.004651686,0.013161016,0,0.008347447,-0.011764869,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029626934,0.011222835,0.009107983,-0.016998043,0.025614853,0.007014912,0.004246717,0.008236908,0.009577299,0.007133313,0.031283484,0,0.00798285,0.003379623,0.012130565,0.006988295,0.024285494,0.005570184,0.010955328,-0.024910698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020380271,0.013802099,-0.013575664,0,-0.012386609,0.01138783,-0.005751313,0.003215197,-0.013983746,-0.005970923,0,0.009303992,0,0,-0.00947868,0,-0.008892254,-0.016705141,-0.00227124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.024068506,0.013925129,0,-0.016472557,-0.010043591,0.010637524,-0.008649406,-0.003883298,0,-0.006208529,-0.002271985,0.004060808,-0.008315127,0,-0.000324539,0,-0.005819557,-0.005110726,-0.005399853,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025552937,0.011068814,0.024231786,0.009789045,-0.00554362,0.02938971,0.018864623,0.006539516,0.007781274,-0.005647056,-0.0034798,-0.002701931,0.006716352,0.003584074,-0.007534468,0.005013745,0.021482064,-0.003544978,-0.005242419,0.000765848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020746916,0.020686076,0.013063289,0.011176953,0.009169124,0.009070681,0.008851668,0.00865657,0.007671471,0.007149559,0.006710286,0.006445527,0.006100622,0.005804587,0.005680905,0.005477779,0.00539442,0.005323995,0.005292489,0.005075632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
